Factor	2-amino-2-methylpropanoic_acid	2-hydroxycinnamic_acid	2-hydroxyphenylacetic_acid	2-methylmaleic_acid	2-oxovaleric_acid	2-quinolinecarboxylic_acid	2_3-dihydroxybenzoic_acid	2_3cyclic_AMP	2_5-dihydroxybenzoic_acid	2deoxyadenosine	2deoxyguanosine	3-dehydroshikimic_acid	3-hydroxybenzoic_acid	3-hydroxykynurenine	3-methoxy-4-hydroxymandelic_acid	3-methyglutaric_acid	3-methyladenine	3_4-dihydroxybenzoic_acid	32-hydroxyphenyl_propanoic_acid	4-coumaric_acid	4-guanidinobutanoic_acid	4-hydroxy-2-quinolinecarboxylic_acid	4-hydroxybenzoic_acid	4-pyridoxic_acid	5-oxo-proline	5deoxyadenosine	5methylthioadenosine	6-hydroxynicotinic_acid	abscisic_acid	adenine	adenosine	alanine	allantoin	allothreonine	alpha-aminoadipic_acid	arabitol	asparagine	aspartic_acid	azelaic_acid	betaine	biotin	bis_3-aminopropyl_amine	caffeic_acid	carnitine	cellobiose	chenodeoxycholic_acid	chlorogenic_acid	choline_o-sulfuric_acid	creatinine	cytidine	cytidine_2_3cyclic_mono-phosphoric_acid	cytosine	deoxycarnitine	deoxycytidine	deoxyuridine	ectoine	epinephrine	erythritol	ethylmalonic_acid	ferulic_acid	fumaric_acid	galactaric_acid	galactitol	galacturonic_acid	gluconic_acid	glucuronic_acid	glutamic_acid	glutamine	glyceraldehyde	glyceric_acid	guanidinoacetic_acid	guanine	guanosine	guanosine_3_5cyclic_monophosphoric_acid	gulonic_acid_gama-lactone	hippuric_acid	histidine	homoserine	hypoxanthine	indole-3-acetic_acid	inosine	isoleucine	isonicotinic_acid	itaconic_acid	lactic_acid	lactose	leucine	maleic_acid	malic_acid	malonic_acid	maltose	mannitol	melibiose	methionine	methyl_beta-galactoside	mevalonic_acid	myo-inositol	N-acetyl-alanine	N-acetyl-galactosamine	N-acetyl-glucosamine	N-acetyl-glutamic_acid	N-acetyl-leucine	N-acetyl-mannosamine	N-acetyl-phenylalanine	N-acetyl-serine	n-acetyl-tryptophan	N-acetylputrescine	N-alpha-acetyl-lysine	N-trimethyllysine	nicotinamide	nicotinic_acid	norleucine	norvaline	o-acetyl-serine	ophthalmic_acid	orotic_acid	palatinose	pantothenic_acid	phenylalanine	pipecolic_acid	proline	pyridoxine	pyruvic_acid	quinic_acid	raffinose	ribitol	riboflavin	S5adenosylmethionine	saccharic_acid	salicylic_acid	serine	shikimic_acid	sn-glycero-3-phosphocholine	sorbitol	sphingomyelin	stachyose	sucrose	syringic_acid	taurine	threonine	thymidine	trans-cinnamic_acid	trehalose	trigonelline	tryptophan	tyramine	tyrosine	uracil	uric_acid	uridine	valine	vanillic_acid	xanthine	xanthurenic_acid	xylitol	1-methyl-6_7-dihydroxy-1_2_3_4-tetrahydroisoquinoline	1_2-dipalmitoyl-rac-glycero-3-phosphoethanolamine	2-phosphoglyceric_acid	4-acetamidobutanoic_acid	4-aminobutanoic_acid	5-methylcytosine	isocitric_acid	lysine	ornithine	suberic_acid	trans-4-hydroxyproline	tryptamine	3-hydroxybutanoic_acid	arginine	citrulline	thymine	phenethylamine
Leaves	4.439136727	7.117903613	5.403410778	6.509001932	6.140396196	4.640656174	6.851645009	5.559777374	5.954911229	5.876165756	4.851312837	6.352144998	7.171790203	4.272104958	6.391197033	5.994271092	5.239770785	6.851645009	5.760869509	6.753562832	6.575433466	6.553812807	6.948456004	7.044389914	6.066293021	4.793328682	7.449455702	5.063683989	6.102765379	8.188892345	8.57344457	6.371615669	6.274847378	6.013574895	5.450137431	7.385404927	5.144983673	7.296206328	6.992757906	8.685217551	6.177818041	7.806455671	5.935299165	7.354429704	6.531290433	4.9894841	6.883088609	8.280630564	5.313640208	6.236813563	4.764466074	6.313326323	5.621739731	4.389390032	4.335083691	4.910362655	5.426200361	6.465670348	5.778920309	7.220200255	7.144637907	6.41875089	7.415993679	5.472271975	7.693568334	6.970365332	7.748437324	7.323897731	6.676355617	7.558991595	4.525238013	6.905047146	6.255113254	5.090883783	6.776169677	6.448296038	6.050040533	4.60557574	6.0322928	4.566904936	5.601467201	6.926823047	4.881551473	7.09309364	6.676355617	6.332335421	6.607253018	7.196653924	7.60037724	6.732174908	5.74202829	7.901449662	5.856030324	5.216414931	5.642321217	5.360519001	8.466830803	5.702185371	6.083733441	5.672635987	6.486819531	5.014967107	5.672635987	4.699829851	5.26401646	4.670578774	5.038896955	5.721682658	5.796953411	5.975176114	5.28881811	6.607253018	6.818241081	4.482229722	4.179156711	5.380723117	7.244440825	7.645775505	6.797219884	5.539422636	6.158055667	5.896948783	7.520994847	8.992700152	8.014339314	7.019088642	5.816944192	4.732215615	6.41875089	8.371750423	5.517243889	7.270974732	6.293926392	7.901449662	5.118529772	7.068853608	9.305196837	5.4942365	5.192989106	6.710658587	4.821949959	5.916815202	6.197789443	8.809088011	5.836625326	4.936584034	5.16933227	4.962446141	5.580641078	7.48565899	6.641150009	6.217765181	6.122413568	5.338178776	8.099248579	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Leaves	4.596119967	6.998058893	5.876544767	6.680731311	5.91596167	4.971771174	6.71399948	NA	6.337044222	5.68959273	NA	6.26221662	7.292145045	NA	5.419760099	6.045415669	5.398333704	6.71399948	6.028068547	6.891539232	6.658822332	6.226109951	7.196070471	7.242329666	5.85702296	4.894289152	7.119755744	NA	6.551403339	7.717344521	8.301370337	6.635568591	6.281102185	5.021638576	5.263052991	6.933732232	5.356966885	7.024168789	NA	8.586837537	6.188222787	8.125906545	6.529323379	6.975980199	7.318326759	5.990993069	8.388634929	7.892298351	5.287146188	6.35600657	4.836454952	6.465932652	5.669879343	4.558082569	4.269950735	4.43331857	5.896688933	6.061631958	5.782007057	7.171961845	6.592993301	6.158620581	7.2678607	5.465395019	7.473261314	7.048462615	7.624617772	7.347516876	6.797725687	7.508148949	4.921091834	6.572297391	6.393872799	NA	6.912713453	5.376627358	5.217012909	4.63103209	5.952664221	4.752005106	5.972511032	7.095519029	5.095876543	6.850460469	6.797725687	7.145651509	6.755479572	7.07211022	7.377997823	6.429951613	5.933838654	8.00153693	6.486383499	5.12260199	5.799818471	5.610670104	8.69532722	5.508322305	6.318178057	5.56053657	6.09594912	4.719471702	5.56053657	4.946126572	5.239625715	4.331504741	5.311141049	5.530384692	5.72712547	5.746628098	5.590990295	6.755479572	NA	4.865333089	4.808120015	5.334998927	7.407308219	7.668914352	7.438734033	5.707885701	6.299801648	6.132903168	7.21887959	8.997937533	8.212814488	6.870865253	5.443431594	4.780914268	6.158620581	7.829041853	5.764681881	7.543851097	6.243996293	8.00153693	4.384314201	7.582371988	9.305196837	5.630666672	5.171454644	6.828903898	4.661369648	6.114953197	6.374923647	8.81650423	6.077991286	4.997589761	5.819261241	5.044645114	5.650205936	6.954633109	6.61341622	6.507944194	5.838160529	6.009640562	7.774093671	4.475824954	4.689295125	5.06907728	5.486307127	5.147971407	4.516880256	8.482769775	6.449047162	6.206341887	6.411085961	5.194326584	4.179156711	NA	NA	NA	NA	NA
Leaves	4.512040204	7.110554933	5.533530236	6.380529808	5.853830182	4.987183657	7.292363237	6.806002843	6.106749211	5.892592651	4.744307368	6.251544777	6.659673002	4.429964821	5.31910876	6.071282527	4.961416999	7.292363237	6.361850053	8.594295499	7.16156084	6.681125296	6.992209213	6.744032003	5.985483696	4.855947258	7.041339467	5.248229508	6.088418525	8.225891127	8.397979295	6.398834434	5.81669076	4.912034394	5.726379342	7.186814818	5.780437844	7.332431025	6.826493473	8.700989802	6.177818041	7.595164594	7.390914668	7.520573511	6.470026345	5.425587797	7.486989843	8.312770726	5.226286129	6.270033706	6.003665654	6.039375329	6.724143767	4.268717228	4.381392305	5.03450621	5.363053765	6.324358376	5.612090747	6.929495383	7.209131253	7.243406076	6.703188454	5.295320412	7.638127532	6.511328686	7.732587653	7.361888284	6.898353579	7.682556014	4.77361969	7.135919026	6.554074761	6.055907481	6.022138982	6.415947745	5.947772472	4.683734028	6.434677963	4.625445748	5.797688779	6.867968707	5.181683961	6.847665706	6.898353579	6.306826456	6.625660823	7.017118468	7.452415391	7.064610081	5.469637946	7.81569554	5.74560343	4.800476742	5.342245121	5.631776947	8.140409336	5.512098553	6.142135506	5.698608024	6.215725348	5.57296851	5.698608024	4.827964642	5.158957777	4.329450128	5.057689755	5.55337967	5.967158741	5.763367805	5.592855869	6.625660823	NA	4.590633017	4.712781918	5.135037556	6.786406787	7.979004479	7.0876891	5.929613961	6.574632664	6.125123536	6.950045969	9.000896735	7.556647599	6.765051975	5.448430314	4.472129113	7.243406076	8.057369351	5.911764528	6.970906134	6.490510908	7.81569554	5.10941926	6.343493737	9.305196837	5.272126612	5.490363322	6.594868482	4.656048917	6.452700741	5.382440662	8.820678188	5.670238353	5.872928376	5.203951764	4.884847647	5.650912763	7.420193279	6.53276965	6.288196027	5.835462664	6.177818041	7.908233231	NA	4.552969108	5.011655274	5.403962619	4.936904915	NA	8.491605592	6.177818041	NA	6.234098049	5.08299482	4.179156711	NA	NA	NA	NA	NA
Roots	4.95285324	7.498682345	NA	NA	6.188831957	5.834981082	6.964292467	5.114151234	6.941765963	7.013532103	5.85496856	5.775599396	6.762807895	5.364085052	6.090379203	6.166656316	5.239925539	6.287838334	5.26504224	6.426928576	6.510127826	5.05785389	6.987358784	6.600578258	7.361687104	4.980684561	7.171606966	5.032677925	5.591396646	7.274220833	8.987040718	6.695286969	5.408780769	6.071625944	5.50263433	NA	8.165063736	7.621452814	NA	8.80103184	NA	7.668623137	6.919326875	6.44747816	6.647409839	4.576154498	6.852905495	6.82991906	NA	6.148259283	4.533982788	6.129982576	5.479492321	5.793875073	NA	4.836650185	4.488961743	4.615329215	5.569786403	6.786143539	7.460808246	5.203657224	7.040076891	5.52650597	6.622845426	6.740193855	7.781296807	8.257902041	6.885470547	5.997742041	4.274392034	6.268024923	6.368057666	4.445260583	5.696145911	4.777348349	6.407252279	5.756770804	5.167062524	4.68028164	6.110447855	7.576847595	5.341524744	6.67163711	6.885470547	6.248175519	7.20943608	5.936883756	7.7202047	6.487284346	5.654511512	7.874964246	6.017734336	5.897225902	4.649912163	5.316291328	8.074703551	5.814457924	5.917720451	5.726246507	5.875760942	4.745792344	5.726246507	4.926360049	5.633744613	4.179156711	NA	NA	6.036755698	5.385530078	5.612342926	7.20943608	6.465390265	5.432969126	4.338870587	6.229142882	6.718490854	7.425074391	7.143553663	7.090490446	6.556369325	6.8075015	7.246727621	8.558682008	8.352977961	NA	4.867537778	4.806373621	5.203657224	8.674163338	6.347986035	6.578755226	5.978002137	7.874964246	NA	7.329764816	9.305196837	6.054881419	4.898220272	7.536103106	5.290595171	5.141694976	6.308064019	7.98866515	7.06537134	5.007733009	5.957296289	NA	NA	7.393172254	7.300622465	6.533379724	NA	4.711581255	7.115918427	4.394741883	5.67561992	NA	NA	6.208399638	5.085491862	NA	NA	6.327253638	NA	5.548613819	NA	6.388323385	8.449151104	5.457180934	NA	NA
Roots	5.02194336	6.849894564	NA	5.851589666	6.218307077	5.55136582	6.915044391	5.462077487	6.981509467	6.936988095	5.774020041	5.932111839	6.718193991	4.857381943	5.951588786	6.048433503	5.127742703	6.536938743	5.274624222	6.411965418	6.513673411	4.798419638	7.211218636	6.374181063	6.761527124	4.484881833	7.082320216	5.045978163	6.237534249	7.635715543	8.99048984	6.892927021	6.256059138	6.08258441	5.24907739	NA	7.857825035	7.106557736	8.004452435	8.45998402	4.769562919	7.590746675	7.133164812	6.139931584	6.35442132	NA	6.784597202	7.05768376	NA	6.276112878	4.969689075	6.334471759	5.099989746	5.735908337	NA	5.348688361	4.273003169	4.704475607	5.593374839	6.739499342	7.406904017	4.550141533	7.314315481	5.225704076	6.58108125	6.451430283	7.796763703	7.550119217	6.683562875	5.529963906	NA	6.60247931	6.469767959	4.916712152	5.655216257	NA	5.871914198	5.79169226	5.892853493	4.391496388	6.011264234	7.439854824	6.030387059	6.491655275	6.683562875	6.295503335	7.274823989	6.177818041	7.476083636	6.121688643	5.370081532	8.74058052	6.157819076	5.675900093	4.674409196	5.506822594	7.926919785	5.43873948	6.065053045	5.705479942	5.178144453	4.644318585	5.705479942	4.737589817	5.153782557	NA	NA	NA	5.61381822	5.572190839	6.101697702	7.274823989	6.559086829	5.071625304	4.336572491	5.634859114	6.648568213	7.376247625	7.235538098	7.032601127	6.393995629	6.315024208	6.958970733	8.271649842	8.178478137	NA	5.201926648	NA	4.550141533	8.567715748	7.005973197	6.431895259	6.871249688	8.74058052	NA	7.344181832	9.305196837	6.198030786	4.943036103	7.187407492	NA	5.32471567	7.683220205	7.737235505	6.82733547	4.888163109	5.913232616	5.755505484	4.179156711	7.512382099	7.160510873	6.624469611	5.483838923	4.609471944	6.80546738	4.441548225	5.832147333	NA	NA	5.811783155	4.996758747	8.364486042	NA	5.991733265	5.972387903	4.827608506	5.29939796	5.391889026	8.089721823	5.414451137	NA	NA
Roots	4.790392543	7.690832853	5.88370557	NA	NA	NA	6.530025214	NA	6.936988095	7.07531838	5.704140725	5.245797827	7.194207394	NA	5.408093603	6.145015184	5.30308602	6.368517058	5.658203728	6.234885866	6.456310276	5.19174178	7.221424649	6.32294031	6.862432498	4.823466128	6.911927127	NA	6.736530209	7.344181832	8.965403649	6.7875845	6.63131682	6.101697702	5.358235751	NA	7.895580894	6.836961665	NA	8.769806949	NA	NA	7.133164812	6.189994791	6.711826424	NA	5.837614196	7.584999645	NA	5.726974104	NA	6.658995159	5.218911528	5.79169226	NA	5.750077199	4.515902043	4.414016114	5.907542438	7.415993679	6.58108125	4.31974558	7.635715543	4.954019433	NA	6.060475934	7.497004749	7.31047295	NA	5.014967107	NA	6.556041259	6.346015822	NA	5.860168692	NA	NA	4.892388989	NA	4.648734332	6.478648883	7.380651301	5.487133635	6.256059138	NA	6.1655593	7.032601127	6.21230871	7.53910745	5.814778594	5.5630893	8.232892701	6.278884068	5.135413182	4.718121936	5.975176114	7.754710984	5.071625304	6.080045791	5.940455611	5.104056062	5.381944176	5.940455611	4.857381943	4.92433597	NA	5.634859114	NA	NA	5.997297038	5.681821306	7.032601127	6.988057182	4.756506078	NA	5.462077487	6.605574165	7.164546831	6.886586496	6.411965418	6.301236959	6.504558866	6.811623435	7.454848105	8.630561559	NA	5.164285626	4.564811773	4.31974558	8.39054824	6.685280255	6.04077636	5.771421598	8.232892701	NA	8.077925635	9.305196837	6.434822033	5.274624222	6.962214979	5.610958882	4.682719058	8.503297367	7.820956441	6.391197033	5.0426059	6.019677223	5.435239307	5.539422636	7.280287919	7.103152964	6.761527124	NA	4.179156711	7.249925219	NA	6.124340809	NA	NA	5.513594272	4.985271786	NA	NA	5.58733134	NA	4.467070956	NA	5.331819796	7.981875005	NA	4.609471944	NA
Rhizosphere	NA	NA	NA	6.972793652	NA	NA	NA	4.597233809	NA	8.8879341	7.839005294	NA	NA	NA	4.46853766	NA	NA	NA	5.626401134	6.771073771	NA	5.130469997	7.284943028	NA	7.126755741	5.423436991	6.134477431	5.657963078	5.838710306	7.748437324	8.673000707	5.869414764	6.432932233	NA	5.046690138	NA	NA	NA	7.244440825	NA	NA	8.499953332	NA	NA	6.403415617	5.31910876	4.793328682	7.944379254	6.736770894	5.807855295	NA	NA	NA	7.422844762	6.703188454	NA	4.179156711	4.395293134	NA	7.049915344	NA	4.720827463	NA	5.460241569	7.207061093	5.992129013	NA	NA	8.280630564	4.968570299	NA	7.327256842	6.253109595	NA	5.750518377	NA	6.343493737	NA	6.938792002	5.355684647	6.162032068	6.494451459	NA	NA	8.280630564	6.193693037	6.649313753	7.0876891	NA	5.778920309	5.562097182	7.505563177	6.373782996	5.087813841	5.4942365	NA	7.595164594	4.92798474	6.105010779	5.916815202	NA	5.009534517	5.916815202	NA	5.205941362	NA	NA	NA	NA	6.313326323	NA	6.649313753	NA	4.534879658	NA	NA	6.022138982	6.837986211	6.224457765	NA	6.283325708	NA	NA	NA	7.666277485	NA	5.529738469	4.650859247	4.720827463	NA	7.375307744	NA	5.16933227	7.505563177	NA	7.010151611	NA	NA	5.280702618	6.461378352	8.072088842	5.242325746	9.305196837	NA	5.719515864	NA	5.68959273	7.168746613	5.388399135	NA	6.075911339	6.528615079	NA	NA	NA	4.838214794	6.050040533	NA	5.594646053	4.884847647	6.596667847	NA	6.871455356	6.804150256	6.563263569	4.308500137	NA	NA	NA	5.961842902	6.905047146	NA
Rhizosphere	NA	5.781478081	NA	6.876311575	6.302185246	NA	NA	NA	NA	8.333563475	6.842325869	NA	NA	NA	4.759441711	6.177818041	5.624367923	5.720465167	5.452526767	6.807271928	NA	5.970753142	7.263873647	NA	NA	5.656961445	6.425261941	5.811783155	7.512382099	7.573767291	8.662021579	NA	6.946210222	NA	5.305831657	6.981509467	NA	NA	NA	7.81569554	NA	7.921000624	NA	NA	6.59362708	5.68959273	4.606349643	7.721775724	NA	5.591620823	NA	NA	NA	6.737769815	6.001423585	NA	4.400393337	4.179156711	NA	6.395619853	NA	NA	NA	NA	6.911405401	NA	NA	NA	7.426546232	5.025961683	NA	7.061762587	6.05970837	NA	NA	NA	6.031916285	4.943036103	7.14239112	5.190020836	6.332759073	NA	NA	6.118516181	7.426546232	6.209531524	5.923623278	7.223102574	NA	5.875327599	5.378404076	8.116118925	6.522704642	4.311544234	NA	5.26613658	7.185403965	5.065267276	6.271198617	6.470639396	NA	NA	6.470639396	5.414451137	NA	NA	NA	NA	NA	6.703188454	NA	5.923623278	7.352420582	NA	NA	NA	5.843236601	6.364220045	NA	4.543122056	5.487680332	NA	7.021829134	NA	7.643802881	6.628476924	5.524349658	NA	NA	NA	NA	4.707162857	4.900375428	8.116118925	NA	6.773310591	8.485772004	NA	NA	NA	7.100581753	6.08727326	9.305196837	NA	NA	5.227665387	4.985595005	6.666533546	5.10941926	NA	NA	NA	NA	4.65958118	7.305296111	4.852520765	6.147325429	NA	NA	4.805406449	5.752347236	8.877441089	NA	NA	NA	4.474581121	NA	5.151710462	6.24063127	5.344918056	5.558125468	6.559086829
Rhizosphere	NA	5.539422636	NA	6.905047146	NA	NA	5.74202829	NA	NA	8.188892345	6.948456004	NA	NA	NA	4.670578774	NA	5.662512779	5.778920309	5.403410778	NA	NA	NA	7.196653924	NA	NA	5.702185371	6.776169677	6.013574895	7.09309364	7.415993679	8.57344457	NA	6.862432498	NA	5.313640208	7.244440825	NA	NA	NA	NA	NA	8.014339314	NA	NA	6.197789443	5.118529772	NA	7.867856858	NA	5.4942365	NA	NA	NA	6.641150009	5.975176114	NA	4.335083691	4.179156711	NA	6.083733441	NA	NA	NA	NA	6.992757906	NA	NA	NA	NA	4.851312837	NA	6.687766201	6.050040533	NA	NA	NA	6.158055667	4.732215615	NA	4.910362655	5.856030324	5.816944192	NA	NA	NA	6.274847378	5.916815202	7.144637907	NA	NA	4.962446141	7.60037724	6.236813563	NA	5.014967107	NA	7.044389914	NA	6.391197033	6.575433466	NA	NA	6.575433466	NA	NA	NA	NA	NA	NA	6.352144998	NA	5.916815202	7.48565899	NA	NA	NA	5.621739731	6.313326323	NA	NA	5.063683989	NA	NA	NA	7.748437324	6.732174908	5.580641078	NA	NA	NA	5.216414931	NA	NA	7.60037724	NA	6.818241081	8.371750423	NA	NA	NA	7.354429704	5.16933227	9.305196837	NA	NA	NA	4.793328682	6.428481223	4.525238013	NA	NA	NA	NA	NA	7.296206328	4.60557574	6.509001932	NA	NA	NA	6.122413568	8.809088011	NA	5.450137431	NA	4.439136727	NA	NA	6.465670348	5.26401646	5.360519001	NA
Leaves	4.67248569	7.640807525	5.804294225	6.382747523	6.227884706	4.824769956	6.620982358	NA	6.323350281	5.748790034	4.607515478	6.500637407	7.480928992	NA	5.477934982	5.244418603	6.207545443	6.620982358	5.565965271	6.811942932	7.334091913	6.265619918	6.657015394	7.138976735	6.057700279	5.149382832	7.112078095	NA	5.843818924	7.334091913	8.276192763	6.567310262	5.173731914	5.824654904	5.785311496	6.768957952	5.293989638	6.746518939	NA	8.570608326	5.545448211	8.009456316	6.964742635	6.790995647	7.516737968	5.86377523	8.683086458	7.595164594	5.40892996	5.943467114	4.734893466	6.246443154	5.983381452	NA	NA	4.526955108	5.924493364	5.018446443	5.343505022	7.266363984	6.166894354	6.888003523	7.166224012	5.19745166	7.012623283	6.458335426	7.554573551	6.987206859	NA	7.444713166	5.221053982	6.074283268	6.148961097	NA	6.002612005	4.335823863	5.386305466	4.483549135	5.68959273	NA	5.708647738	6.920965295	5.123115432	7.192085531	NA	7.411502331	7.075595099	5.963726519	7.038568135	6.85632008	6.304648534	7.895864003	6.52193385	5.269318062	5.095359344	4.854338158	8.463443278	5.669118106	6.188578837	5.617723904	6.343493737	NA	5.617723904	4.767005317	5.31910876	4.27255136	5.456109472	4.884847647	6.131199012	4.702143759	5.432474197	7.075595099	6.478035589	4.939800965	5.648705319	5.365310309	7.801668393	6.401804241	7.688458904	6.112326343	6.703188454	6.833964588	6.420355789	8.991603625	8.094487461	7.742909133	5.04242885	4.993112881	6.888003523	7.380880335	5.88434962	7.215762013	6.942797374	7.895864003	4.390437604	7.240041365	9.305196837	5.728701286	5.767451574	6.725326502	NA	5.587013015	6.362966955	8.807530575	6.040372248	5.067646846	6.022138982	4.568716322	6.588995397	5.50031789	6.545691377	5.905139939	4.913533615	6.679895807	7.291682629	4.440336269	4.795864982	6.285050887	NA	4.966059037	NA	8.36815716	6.440278314	6.092703223	NA	5.52364737	4.179156711	4.642487205	8.183750487	NA	NA	NA
Leaves	4.704475607	7.796763703	5.675900093	6.218307077	5.871914198	5.153782557	6.266210535	NA	5.932111839	5.811783155	4.336572491	6.334471759	7.211218636	4.391496388	5.506822594	NA	6.58108125	6.266210535	5.61381822	6.648568213	7.235538098	5.55136582	6.35442132	7.376247625	6.030387059	5.24907739	6.981509467	NA	6.011264234	7.406904017	8.089721823	6.784597202	4.609471944	4.943036103	5.991733265	6.491655275	5.045978163	6.871249688	NA	8.271649842	5.79169226	7.683220205	6.739499342	6.393995629	7.530661433	5.851589666	8.567715748	7.187407492	5.655216257	5.951588786	4.484881833	6.469767959	5.593374839	NA	NA	5.178144453	6.057011164	5.099989746	5.483838923	7.287467842	6.451430283	7.019612085	7.344181832	5.32471567	7.160510873	6.624469611	7.635715543	6.761527124	NA	7.439854824	5.348688361	5.892853493	6.177818041	NA	5.774020041	4.674409196	5.972387903	4.528687901	5.414451137	4.798419638	5.696017523	6.936988095	4.737589817	7.476083636	NA	7.314315481	6.683562875	6.157819076	7.082320216	6.849894564	6.431895259	7.964136691	6.60247931	4.916712152	5.071625304	4.888163109	8.805946931	5.832147333	6.198030786	5.725467031	6.82733547	NA	5.725467031	4.996758747	5.634859114	4.179156711	5.529963906	5.201926648	6.121688643	4.969689075	4.769562919	6.683562875	NA	5.127742703	6.536938743	5.462077487	7.857825035	6.718193991	7.737235505	6.295503335	6.559086829	6.958970733	6.237534249	8.99048984	8.178478137	7.590746675	5.274624222	4.644318585	7.019612085	7.106557736	6.139931584	7.261633281	7.05768376	7.964136691	4.273003169	7.530661433	9.305196837	5.391889026	5.02194336	6.80546738	4.57054387	5.29939796	6.411965418	8.680916607	6.915044391	6.057011164	5.755505484	NA	5.43873948	5.572190839	6.374181063	6.08258441	5.225704076	6.315024208	7.133164812	NA	4.827608506	6.892927021	5.370081532	4.857381943	NA	8.45998402	6.513673411	6.101697702	NA	5.913232616	NA	4.441548225	8.364486042	NA	NA	NA
Leaves	4.444010176	8.079834689	5.787052708	6.902992686	5.88860843	NA	6.553671286	NA	6.257153329	5.909523487	4.648030823	6.836623033	7.397607948	4.179156711	5.729534156	5.709051077	5.647907885	6.553671286	5.867505528	7.046054937	6.747410761	5.969477253	7.095984365	7.201875789	5.68959273	5.51999723	7.071157476	NA	6.356745997	7.847278803	8.356899338	6.454624748	4.894849168	4.803584997	5.359074337	6.7257515	4.949561987	6.947594997	NA	8.262232266	5.948500157	7.994062179	6.970073019	5.827486615	7.429772019	6.770355549	8.452840525	7.226204047	5.606035036	6.008879095	NA	6.02842176	5.379792811	NA	NA	4.273923403	6.046777408	5.259573178	5.668714109	7.673230482	6.336654188	6.166717028	7.503358314	5.235133634	7.14927432	6.631497943	7.581592316	6.993053913	NA	7.46602825	5.199098878	5.846982855	6.21886272	NA	5.749931512	4.574248389	5.199098878	4.709194104	5.473687736	4.393648337	5.76891238	6.703188454	4.743039003	7.278740717	NA	7.020148832	6.507740283	6.435443867	7.121820796	6.679452337	6.297116395	7.756761562	6.081401568	5.54255705	5.426530787	4.977001579	8.676456207	5.806647805	6.376799197	5.57414791	5.989112242	4.864133856	5.57414791	5.029035056	5.335934098	4.678306927	5.162622111	4.774734183	NA	5.285265963	5.004102735	6.507740283	6.814061629	5.10941926	5.496313741	5.451056491	7.626323019	6.473935	7.305296111	6.859393913	6.139454064	6.880411245	6.925373119	8.988208821	8.169641317	7.916447481	5.310658306	4.613359581	6.166717028	7.177215484	6.277408301	7.366657014	6.656054661	7.756761562	4.833535531	7.251819849	9.305196837	5.403112492	5.053758279	6.792635838	NA	6.198278425	6.586861492	8.802698278	6.238272911	5.627049756	5.928921097	NA	4.487587922	6.063776309	6.608524619	6.316760491	5.137032164	6.396803303	7.334688281	4.3380957	4.923125117	6.120943124	NA	5.080857392	4.532201503	8.561754468	6.415193907	6.100687638	NA	NA	NA	NA	7.540888203	NA	NA	NA
Roots	4.737589817	7.635715543	6.256059138	NA	6.334471759	5.529963906	7.590746675	4.484881833	7.512382099	6.469767959	5.29939796	5.774020041	7.314315481	4.441548225	6.35442132	5.735908337	5.483838923	7.05768376	5.071625304	6.08258441	7.261633281	5.045978163	6.431895259	6.065053045	6.58108125	4.769562919	6.718193991	5.02194336	6.393995629	7.683220205	8.99048984	6.491655275	5.851589666	5.755505484	6.121688643	NA	7.926919785	7.235538098	NA	8.680916607	NA	7.796763703	6.513673411	6.784597202	6.871249688	NA	7.439854824	7.406904017	NA	5.832147333	4.273003169	5.972387903	6.624469611	5.634859114	NA	4.996758747	4.528687901	4.57054387	5.871914198	6.536938743	6.892927021	5.426363432	7.211218636	5.099989746	6.451430283	5.696017523	8.178478137	8.004452435	6.838545489	5.715495879	4.179156711	6.295503335	6.048433503	4.336572491	5.506822594	NA	5.675900093	5.348688361	6.139931584	NA	6.101697702	7.160510873	5.593374839	6.011264234	6.838545489	6.750538162	7.09452239	7.737235505	7.032601127	5.892853493	6.030387059	8.510114173	6.374181063	5.655216257	6.915044391	5.391889026	7.376247625	5.225704076	5.932111839	5.561553658	6.559086829	4.644318585	5.561553658	4.798419638	5.32471567	NA	5.24907739	4.674409196	5.79169226	5.370081532	5.811783155	7.09452239	NA	4.943036103	4.704475607	6.276112878	6.750538162	6.60247931	7.344181832	6.936988095	7.133164812	6.157819076	6.695444318	8.805946931	8.089721823	NA	5.178144453	NA	5.426363432	7.857825035	6.177818041	7.476083636	6.660708902	8.510114173	NA	6.958970733	9.305196837	5.951588786	5.462077487	7.005973197	5.274624222	4.916712152	7.287467842	7.187407492	6.660708902	6.218307077	6.198030786	4.857381943	4.609471944	6.80546738	6.981509467	6.411965418	NA	4.888163109	7.550119217	4.827608506	5.991733265	5.201926648	NA	6.315024208	5.153782557	8.364486042	6.237534249	5.913232616	NA	4.969689075	4.391496388	5.127742703	8.271649842	5.61381822	NA	NA
